Gene ID	SYMBOL	Fold Change(T/S)	q-value(%)	Component
201109_s_at	THBS1	0.097	0	Stroma
227550_at	LOC143381	0.056	0	Stroma
219872_at	C4orf18	0.095	0	Stroma
205560_at	PCSK5	0.172	0	Stroma
233690_at	RUNX1	0.104	0	Stroma
208782_at	FSTL1	0.13	0	Stroma
227202_at	CNTN1	0.023	0	Stroma
226237_at	COL8A1	0.044	0	Stroma
204589_at	NUAK1	0.088	0	Stroma
227554_at	LOC402560	0.077	0	Stroma
227209_at	CNTN1	0.032	0	Stroma
225275_at	EDIL3	0.061	0	Stroma
227971_at	NRK	0.015	0	Stroma
228109_at	RASGRF2	0.084	0	Stroma
231341_at	SLC35D3	0.097	0	Stroma
212488_at	COL5A1	0.034	0	Stroma
228952_at		0.086	0	Stroma
212419_at	C10orf56	0.154	0	Stroma
214587_at	COL8A1	0.025	0	Stroma
211813_x_at	DCN	0.055	0	Stroma
224694_at	ANTXR1	0.1	0	Stroma
201893_x_at	DCN	0.042	0	Stroma
222379_at		0.033	0	Stroma
213891_s_at		0.19	0	Stroma
227399_at	VGLL3	0.064	0	Stroma
201261_x_at	BGN	0.073	0	Stroma
201278_at	DAB2	0.112	0	Stroma
1554966_a_at	DOC1	0.091	0	Stroma
200907_s_at	PALLD	0.109	0	Stroma
229555_at	GALNT5	0.086	0	Stroma
210116_at	SH2D1A	0.11	0	Stroma
229271_x_at		0.025	0	Stroma
215324_at	SEMA3D	0.051	0	Stroma
47550_at	LZTS1	0.119	0	Stroma
201107_s_at	THBS1	0.089	0	Stroma
212758_s_at	TCF8	0.129	0	Stroma
204345_at	COL16A1	0.155	0	Stroma
232110_at	GALNT5	0.112	0	Stroma
1564257_at	STAMBPL1	0.063	0	Stroma
229480_at	LOC402560	0.163	0	Stroma
219179_at	DACT1	0.087	0	Stroma
211896_s_at	DCN	0.041	0	Stroma
201149_s_at	TIMP3	0.077	0	Stroma
201108_s_at	THBS1	0.107	0	Stroma
